dutch,english
(doods)kist,coffin
(voor)bereiden,to prepare
aandacht,attention
aangeboren,innate
aankleden,to dress
aankoop,the purchase
aanleunwoning,sheltered accommodation
aanrecht,counter (kitchen)
aantonen,to demonstrate / to prove
aantreffen,to find / to encounter
achteraf,afterwards
achtergrond,background
actie,action / activity
afscheid,departure / farewell
afschuwelijk,horrible / awfully
afvallen,to lose weight
afvragen zich,to wonder / to doubt
afwasmachine,dishwasher
afwassen,to wash the dishes
afzuigkap,cooker hood
agressie,aggression
agressief,aggressive
alternatief,alternative
amper,barely / hardly
andersom,vice versa
anderzijds,on the other hand
arbeider,worker
argument,argument / reason
armband,bracelet
artikel,article / item
asociaal,anti-social
bagage,luggage
bedenken,to think up / to devise
bedreigen,to threaten
beëindiging,termination
beek,brook / stream
begeleiden,to accompany / to coach
begeleiding,accompaniment
beheren,to manage
beide,both / either
belachelijk,ridiculous / absurd
beleefd,polite / courteous
beleggen,to cover / to put on
beleid,policy
belevenis,experience / adventure
bepaald,particular / specific
bereikbaar,reachable
bereiken,to reach / accomplish
berg,mountain
beschadigd,damaged
bescheiden,modest
beschermen,to protect
beschikbaar,available
beschrijven,to describe
beschuit,Dutch biscuit
besteden,to spend
bestemming,destination
beterschap,get well soon
bevestigen,to confirm
bevolking,population
bezigheid,activity / occupation
bezit,property / belongings
bezorgd,concerned for
bezuinigen,to save
binden,to unite
binnenstad,city centre
blaffen,bark
bloeddruk,blood pressure
bloemkool,cauliflower
blut,broke
bom,bomb
boos,angry
bord,notice / sign / plate
borstel,brush
bos,bouquet (flowers) / wood / forest
bouwen,to build
bovendien,moreover
brand,fire
breedte,width / breadth
breken,to break
brengen,to bring
brutaal,impertinent / shameless / bold
budget,budget
buitenlander,foreigner
cabaretier,cabaret performer
cadeaubon,gift certificate
calorie,calorie
cent,cent / penny
chagrijn,chagrin / annoyance
chauffeur,driver
chocola,chocolate
communiceren,to communicate
conducteur,conductor / ticket-collector
constant,constant
criminaliteit,criminality
daarnaast,besides / furthermore
dadelijk,in a moment
dalen,decrease
dam,dam
darm,intestine / bowel
dieet,diet
discussie,discussion
doek,cloth
doel,target / goal
dominant,dominant
doordat,because of / through the fact that
doorkomen,to come through
downloaden,to download
draaien,to turn / to rotate
drank,drink
dreunen,to drone / to rock / to shake
dromen,to dream
dun,thin
durven,dare
echter,however
echtgenoot,spouse
eerder,previously
effect,effect
eigenlijk,actually / basically / in fact
eigenschap,quality / property
eigenzinnig,wilful / self-willed
energie,energy
enerzijds,on the one hand
enige,the only thing
envelop,envelope
ernstig,serious
ervaren,to experience
etiket,label / tag
fase,phase
fijn,fine / great
flauwvallen,to faint
flexibel,flexible
flink,substantial
fornuis,stove / oven
fotograaf,photographer
fruiten,to fry
gaar,cooked thoroughly
geachte,respected / esteemed
gebied,territory / district
gebrek,lack / shortage
gebruiksaanwijzing,directions for usage
gedachte,thought
gedogen,to tolerate
gedrag,behaviour
geestelijk,mental / spiritual
geestig,witty / funny
gehorig,noisy
gel,gel
gelegenheid,opportunity
gelijk blijven,stay the same
gemak,comfort
gemakkelijk,easy
gemiddeld,average
genotmiddel,stimulant
genuanceerd,balanced / subtle
gepensioneerd,retired
geruststellen,to reassure
geul,trench / channel
gevaarlijk,dangerous
gevoelig,sensitive
gevolg,effect / result / consequence
geweld,violence
gewoonte,habit / custom / practice
gooien,to throw
gootsteen,kitchen sink
goud,gold
grafiek,graphics
grap,joke
grootmoeder,grandmother
grootouders,grandparents
hakken,to chop up
handelen,to act / to proceed
heden,present day
heftig,intense / fierce
heide,heathland / heather
helemaal,completely / entirely
herinneren zich,to remember
hersenen,brain
hip,trendy
hoek,corner / angle
hoeveelheid,amount / quantity
hoewel,even though
hoofd,head
hoogachtend,sincerely
huiselijk,homey
hulpverlening,aid / relief / assistance
identiteit,identity
immigrant,immigrant
individu,individual
ingewikkeld,complicated
ingrediënt,ingredient
instellen,to set / to adjust
internationaal,international
invloed,the influence
jenever,Dutch gin
jeugd,youth
juist,right / correct
kabel,cable
kanaal,channel
